Count,Outs,Pitcher,Batter,Type,PitchResult,Vel,Spin,ExitVel,LaunchAng,pCallStrk%
0-0,1,T. Bainton (CSN),J. Williams (UCSB),Changeup,Ground Out,77.6,2096.1,55.1,-74.4,98.00%
0-0,2,T. Bainton (CSN),L. Mccollum (UCSB),Fastball,Ground Out,91,2233.3,83,-30.9,98.60%
3-2,0,T. Bainton (CSN),N. Oakley (UCSB),Fastball,Hit By Pitch,91.6,2407.9,26.3,6.1,0.00%
0-0,0,T. Bainton (CSN),J. Newman jr. (UCSB),Fastball,Line Out,88.8,2324.5,108,16.4,85.00%
2-2,1,T. Bainton (CSN),I. Brethowr (UCSB),Fastball,Single on a Ground Ball,89.8,2196.8,104.1,3.6,62.50%
3-2,1,I. Ontiveros (CSN),Z. Darby (UCSB),Curveball,Single on a Line Drive,73.8,2350.5,87.7,13.4,40.30%
0-1,1,I. Ontiveros (CSN),A. Parker (UCSB),Changeup,Single on a Line Drive,77.7,1456.1,82.3,19,38.10%
3-2,0,J. Romero (CSN),J. Trimble (UCSB),Sinker,Single on a Line Drive,89.2,2211.5,93.1,16.9,94.70%
3-2,1,J. Romero (CSN),Z. Darby (UCSB),Sinker,Fielder's Choice,88.9,2168.1,92.4,-25.6,95.30%
1-1,2,J. Romero (CSN),A. Parker (UCSB),Sinker,Fielder's Choice,89.2,2226.8,89.5,-1.2,97.20%
1-0,1,L. Braun (CSN),A. Parker (UCSB),Fastball,Ground Out,91.3,2154.2,72.2,-49.2,69.50%
0-0,0,L. Braun (CSN),J. Sebring (UCSB),Fastball,Reached on Error on a Ground Ball,93.4,2084.3,85.4,-10.1,97.10%
1-2,0,L. Braun (CSN),L. Mccollum (UCSB),Curveball,Single on a Line Drive,78.1,2213.6,94.3,5.6,90.80%
0-0,0,L. Braun (CSN),J. Sundstrom (UCSB),Sinker,Pop Out,91.8,2044.9,66.8,68.2,95.10%
1-2,1,L. Braun (CSN),N. Oakley (UCSB),Curveball,Single on a Ground Ball,80.6,2302.9,98.3,-11.2,8.20%
0-0,1,L. Braun (CSN),C. Nunez (UCSB),Fastball,Double Play,91.2,2141.7,92.3,-7.8,98.00%
1-2,0,L. Braun (CSN),I. Brethowr (UCSB),Curveball,Ground Out,80.8,2394.8,104.4,-11.6,96.60%
0-0,1,L. Braun (CSN),Z. Darby (UCSB),Changeup,Fly Out,83.9,1955.8,80.3,34.3,97.50%
2-2,0,L. Braun (CSN),J. Sebring (UCSB),Slider,Fielder's Choice,82,2352.2,93.5,-14,97.00%
0-0,0,L. Braun (CSN),J. Sundstrom (UCSB),Curveball,Fly Out,78,2202.2,105.5,26.1,98.30%
0-2,1,L. Braun (CSN),N. Oakley (UCSB),Fastball,Single on a Line Drive,92.7,2017.3,102.9,11.6,76.90%
1-1,2,L. Braun (CSN),A. Parker (UCSB),Fastball,Fielder's Choice,93.5,2236.5,78.7,-30.2,93.90%
3-1,0,L. Braun (CSN),C. Kirtley (UCSB),Fastball,Ground Out,92.1,2195.7,97.9,-9.6,97.20%
2-2,1,L. Braun (CSN),J. Sebring (UCSB),Slider,Ground Out,83.9,2445.5,91.8,-9.5,97.10%
1-2,2,L. Braun (CSN),L. Mccollum (UCSB),Slider,Single on a Ground Ball,83,2481.4,98.5,-6.9,96.50%
1-0,0,L. Braun (CSN),N. Oakley (UCSB),Fastball,Double on a Fly Ball,92.5,2103.4,98.2,20.7,98.70%
0-0,1,L. Braun (CSN),I. Brethowr (UCSB),Slider,Single on a Ground Ball,84.5,2333.7,81.1,-17,81.70%
3-2,1,H. Cody (CSN),Z. Darby (UCSB),Sinker,Ground Out,91.2,2150.3,84.6,-34.6,95.60%
1-2,0,H. Cody (CSN),J. Sebring (UCSB),Curveball,Single on a Ground Ball,77.5,2620.6,78.2,0.6,5.00%
1-2,0,H. Cody (CSN),B. Mortensen (UCSB),Curveball,Double Play,76.5,2410,87.7,6.4,91.90%
0-0,2,H. Cody (CSN),N. Oakley (UCSB),Sinker,Bunt Pop Out,90.7,2181.8,43.9,28.2,98.10%
0-0,0,J. Schuerman (CSB),I. Brethowr (UCSB),Fastball,Fly Out,89.9,2099.7,86.8,23.8,97.50%
1-1,1,J. Schuerman (CSB),A. Parker (UCSB),Curveball,Single on a Ground Ball,78.7,2470.3,90.4,-5.1,96.60%
1-1,2,J. Schuerman (CSB),B. Mortensen (UCSB),Curveball,Single on a Line Drive,78,2484.3,92.4,15.1,95.50%
0-1,2,J. Schuerman (CSB),J. Sebring (UCSB),Fastball,Reached on Error on a Ground Ball,91.3,2136.7,100.6,-11.6,95.10%
0-0,2,J. Schuerman (CSB),J. Williams (UCSB),Curveball,Pop Out,78.3,2276.4,82.8,54.9,34.00%
0-0,0,J. Schuerman (CSB),L. Mccollum (UCSB),Fastball,Fly Out,89.1,2058,93.3,35.9,98.50%
2-0,1,J. Schuerman (CSB),C. Nunez (UCSB),Fastball,Ground Out,89.4,2108.1,98.8,-14.5,98.80%
2-2,2,J. Schuerman (CSB),I. Brethowr (UCSB),Fastball,Ground Out,90.4,2144.6,50.4,-29.2,71.70%
0-0,0,J. Schuerman (CSB),Z. Darby (UCSB),Fastball,Home Run on a Fly Ball,88.3,2108.1,108.7,24.8,94.80%
0-0,0,J. Schuerman (CSB),A. Parker (UCSB),Fastball,Ground Out,88,2056.4,95.7,-33.1,95.00%
0-2,1,J. Schuerman (CSB),C. Kirtley (UCSB),Fastball,Pop Out,90,2273,99.4,62.6,87.10%
2-2,2,J. Schuerman (CSB),B. Mortensen (UCSB),Fastball,Home Run on a 410.12 ft Fly Ball,90.3,2267.2,92.4,31.2,97.20%
1-1,2,J. Schuerman (CSB),J. Sebring (UCSB),Fastball,Fly Out,91.6,2205.8,99.3,27,46.20%
1-0,0,J. Schuerman (CSB),J. Williams (UCSB),Fastball,Fly Out,87.6,2105.8,99.6,33.5,99.40%
1-2,1,J. Schuerman (CSB),L. Mccollum (UCSB),Curveball,Single on a Ground Ball,77.2,2460.3,68.4,-10.3,98.30%
1-0,1,J. Schuerman (CSB),A. Parker (UCSB),Fastball,Single on a Line Drive,86.9,1969.2,100.3,12,24.90%
2-1,1,J. Schuerman (CSB),C. Kirtley (UCSB),Fastball,Fly Out,90.1,2365.3,90.6,25.1,72.00%
3-2,2,G. Ulloa (CSB),B. Mortensen (UCSB),Changeup,Fly Out,83.9,1919.4,97.5,42.2,95.30%
1-1,0,G. Ulloa (CSB),J. Sebring (UCSB),Sinker,Single on a Line Drive,89.9,2262.9,108.7,12.7,97.30%
2-2,0,G. Ulloa (CSB),J. Williams (UCSB),Curveball,Sac Fly,81.3,2392,96.2,36.7,91.70%
1-0,2,G. Ulloa (CSB),C. Nunez (UCSB),Sinker,Pop Out,90,2362.2,67,49.8,42.70%
1-1,0,D. Butler (CSB),I. Brethowr (UCSB),Curveball,Line Out,78.5,1826.8,93,14.5,97.40%
3-2,1,D. Butler (CSB),Z. Darby (UCSB),Slider,Fly Out,79.5,1916.6,85.5,52.9,68.70%
0-2,2,D. Butler (CSB),A. Parker (UCSB),Slider,Fly Out,81.5,1799.2,88.6,55.5,69.00%
1-1,0,D. Butler (CSB),C. Kirtley (UCSB),Slider,Line Out,79.7,1800.1,97.8,19,94.30%
1-2,2,D. Butler (CSB),J. Sebring (UCSB),Slider,Line Out,79.2,1964.1,42.1,14.8,38.30%
3-2,0,D. Butler (CSB),J. Williams (UCSB),Curveball,Reached on Error on a Ground Ball,79.7,1969.7,88.2,-6.3,95.30%
2-1,0,D. Butler (CSB),I. Brethowr (UCSB),Changeup,Single on a Line Drive,88.4,1818.9,109.8,7.3,97.80%
3-1,2,M. Comnos (CSB),C. Kirtley (UCSB),Fastball,Home Run on a 426.40 ft Fly Ball,86.9,2188.9,106.4,38.2,97.70%
3-1,0,M. Comnos (CSB),J. Sundstrom (UCSB),Fastball,Fly Out,87.8,2245.2,102.2,44.6,95.90%
2-2,1,M. Comnos (CSB),C. Nunez (UCSB),Changeup,Fly Out,79.1,2296.4,75.6,35.7,35.40%
0-1,0,M. Comnos (CSB),A. Parker (UCSB),Fastball,Fly Out,87.5,2271.4,96.9,32.8,80.40%
2-1,2,M. Comnos (CSB),C. Nunez (UCSB),Fastball,Ground Out,87.7,2136.5,93.8,-10.4,97.50%
1-1,0,M. Comnos (CSB),J. Newman jr. (UCSB),Changeup,Fly Out,80.6,2091.9,101,29.9,96.40%
3-1,1,M. Comnos (CSB),L. Mccollum (UCSB),Fastball,Single on a Line Drive,87.7,2203.9,107,8.8,96.10%
2-2,2,M. Comnos (CSB),I. Brethowr (UCSB),Sinker,Single on a Fly Ball,87.8,2276.7,70.7,27.4,59.50%
0-1,2,M. Comnos (CSB),A. Parker (UCSB),Sinker,Reached on Error on a Line Drive,86.9,2283.2,103.3,9.2,97.60%
1-1,1,T. Wright (CSB),J. Newman jr. (UCSB),Slider,Pop Out,79,2142.9,77.5,72.2,96.60%
3-2,2,T. Wright (CSB),L. Mccollum (UCSB),Fastball,Single on a Ground Ball,89,1835.7,102.8,2.7,33.20%
0-2,2,T. Wright (CSB),A. Parker (UCSB),Slider,Fly Out,78.3,2265.7,94.8,46.6,45.30%
3-2,1,M. Saldana (CSB),N. Oakley (UCSB),Fastball,Pop Out,89,2313.9,91.5,64.5,95.40%
0-1,2,M. Saldana (CSB),J. Sundstrom (UCSB),Changeup,Single on a Ground Ball,80.9,1743.2,88.6,-8.2,1.80%
3-2,2,M. Saldana (CSB),C. Nunez (UCSB),Fastball,Fly Out,88.1,2338.8,90.7,56.9,96.70%
0-1,0,M. Saldana (CSB),J. Newman jr. (UCSB),Changeup,Reached on Error on a Ground Ball,79.6,1761.5,78.5,-30.1,75.20%
2-2,1,M. Saldana (CSB),I. Brethowr (UCSB),Fastball,Double Play,89.6,2210.6,28.5,50.7,4.00%
2-2,0,R. Verdugo (CSB),I. Brethowr (UCSB),Fastball,Ground Out,92.4,2400.3,91.2,-14.3,97.10%
0-1,1,R. Verdugo (CSB),A. Parker (UCSB),Fastball,Fly Out,91.6,2346.8,92,45.7,94.80%
0-0,2,R. Verdugo (CSB),Z. Darby (UCSB),Slider,Ground Out,82,2826.8,64.5,-33.2,95.60%
2-2,0,R. Verdugo (CSB),C. Kirtley (UCSB),Slider,Fly Out,81.2,2763.5,100.2,39.9,95.30%
0-1,1,R. Verdugo (CSB),J. Sebring (UCSB),Fastball,Fly Out,92.6,2293,89.9,33.5,52.40%
3-1,0,R. Verdugo (CSB),C. Nunez (UCSB),Fastball,Ground Out,89.3,2316.2,86.7,-17.5,59.70%
1-1,1,R. Verdugo (CSB),N. Oakley (UCSB),Slider,Fly Out,82.2,2753.9,84.2,41.8,94.40%
0-1,1,R. Verdugo (CSB),A. Parker (UCSB),Fastball,Fly Out,89.2,2319.7,98,45.6,96.00%
0-0,0,R. Verdugo (CSB),C. Nunez (UCSB),Slider,Line Out,79,2641.7,101,16.2,61.70%
1-0,1,R. Verdugo (CSB),N. Oakley (UCSB),Changeup,Ground Out,82.7,1859,88.2,-4.8,98.80%
2-0,2,R. Verdugo (CSB),L. Mccollum (UCSB),Fastball,Single on a Ground Ball,88.9,2212,106.7,-0.1,87.00%
1-2,0,R. Verdugo (CSB),I. Brethowr (UCSB),Slider,Single on a Line Drive,80,2837.6,99.9,8.9,96.50%
0-0,0,R. Verdugo (CSB),Z. Darby (UCSB),Changeup,Home Run on a 414.39 ft Fly Ball,82,1954.3,107.7,25.9,97.00%
2-1,0,R. Verdugo (CSB),C. Kirtley (UCSB),Sinker,Fly Out,89,2377.5,50.6,42.8,20.60%
1-2,1,R. Verdugo (CSB),J. Sebring (UCSB),Slider,Pop Out,78.3,2715.2,69.2,69.1,27.20%
3-1,2,R. Verdugo (CSB),B. Mortensen (UCSB),Fastball,Single on a Line Drive,88.5,2377.3,109.3,16.8,96.60%
2-1,2,R. Verdugo (CSB),C. Nunez (UCSB),Fastball,Single on a Ground Ball,85.3,2287.8,76.8,3.5,2.60%
1-2,0,G. Ulloa (CSB),I. Brethowr (UCSB),Curveball,Home Run on a 418.03 ft Fly Ball,79.6,2260.5,110.9,29.6,97.40%
0-0,0,G. Ulloa (CSB),A. Parker (UCSB),Sinker,Ground Out,87.5,2278.6,92,-5.1,80.60%
2-2,1,G. Ulloa (CSB),Z. Darby (UCSB),Sinker,Single on a Ground Ball,89.6,2400.7,102.7,-1.2,97.00%
1-2,1,G. Ulloa (CSB),C. Kirtley (UCSB),Fastball,Single on a Line Drive,88.4,2232.4,95.8,13.3,96.10%
0-0,1,G. Ulloa (CSB),J. Williams (UCSB),Curveball,Single on a Bunt Ground Ball,76,2106.2,38.4,-29,95.00%
0-2,1,G. Ulloa (CSB),B. Mortensen (UCSB),Changeup,Fielder's Choice,83.4,1967.7,65.8,-32.9,97.50%
1-2,0,J. Galicia (LMU),Z. Darby (UCSB),Sinker,Fly Out,87.1,2144.1,89.4,21.5,81.10%
1-0,1,J. Galicia (LMU),C. Kirtley (UCSB),Fastball,Fly Out,86.6,2183.3,91.9,43,98.40%
1-0,2,J. Galicia (LMU),B. Mortensen (UCSB),Sinker,Fly Out,87.4,2236.5,94.8,24.2,97.20%
1-0,0,J. Galicia (LMU),J. Sebring (UCSB),Sinker,Hit By Pitch,86.9,2197.5,47.7,11.1,0.00%
3-1,0,J. Galicia (LMU),N. Oakley (UCSB),Changeup,Home Run on a 414.40 ft Fly Ball,85.3,2123.4,106.2,28.5,97.50%
1-0,0,J. Galicia (LMU),L. Mccollum (UCSB),Sinker,Single on a Ground Ball,88.1,2204.1,84.6,-17.6,89.40%
2-1,0,R. Mullan (LMU),C. Nunez (UCSB),Fastball,Ground Out,89.7,2138.3,82.2,-13,98.10%
2-1,2,R. Mullan (LMU),C. Kirtley (UCSB),Fastball,Fly Out,87.9,2205.8,89.2,33.3,85.20%
2-2,0,C. Mcroberts (LMU),B. Mortensen (UCSB),Fastball,Fly Out,89.4,2281.3,99.9,46.2,98.80%
0-0,2,C. Mcroberts (LMU),N. Oakley (UCSB),Sinker,Single on a Bunt Ground Ball,89.2,2239.4,41.4,-47.3,98.50%
0-0,2,W. Grimm (LMU),C. Nunez (UCSB),Changeup,Fly Out,80.8,1940,85.3,54.3,97.20%
0-0,0,W. Grimm (LMU),I. Brethowr (UCSB),Changeup,Pop Out,77.8,1786,73,59.6,32.70%
0-0,1,W. Grimm (LMU),Z. Darby (UCSB),Changeup,Double on a Fly Ball,80.2,1848.1,100.5,20.3,97.00%
0-1,1,W. Grimm (LMU),A. Parker (UCSB),Curveball,Home Run on a Fly Ball,74.8,1956,97.5,32.8,97.30%
0-0,1,D. Chase (LMU),J. Sebring (UCSB),Changeup,Single on a Ground Ball,87.4,1958.3,92.5,0.2,92.00%
1-0,1,D. Chase (LMU),N. Oakley (UCSB),Changeup,Ground Out,80.6,1781.1,79,-24.7,98.80%
1-0,2,D. Chase (LMU),C. Nunez (UCSB),Changeup,Fly Out,87.6,1876.1,84.9,35.8,93.00%
1-0,0,C. Kershaw (LMU),I. Brethowr (UCSB),Slider,Double on a Ground Ball,81.2,2154.8,88.4,-15.6,89.30%
3-2,0,C. Kershaw (LMU),A. Parker (UCSB),Sinker,Single on a Line Drive,87.3,1992.6,96.5,7.5,89.90%
1-2,1,L. Hurd (LMU),C. Nunez (UCSB),Sinker,Ground Out,89.2,1736.6,73,-8.8,30.80%
2-0,0,C. Chimenti (LMU),Z. Darby (UCSB),Changeup,Pop Out,84.6,2327.5,87,86.5,97.20%
1-2,2,C. Chimenti (LMU),J. Sebring (UCSB),Slider,Triple on a Line Drive,75.9,2160.4,100.4,19.9,76.90%
1-2,1,D. Watson (LMU),L. Mccollum (UCSB),Slider,Single on a Line Drive,83.3,2225.5,72.5,18.8,9.20%
1-2,1,D. Watson (LMU),I. Brethowr (UCSB),Slider,Home Run on a 407.93 ft Fly Ball,83.2,2171,106.1,22.6,6.10%
1-0,1,A. Schroeder (LMU),Z. Darby (UCSB),Changeup,Double on a Line Drive,87.3,1909.5,100.4,19.1,92.50%
1-2,1,A. Schroeder (LMU),A. Parker (UCSB),Fastball,Single on a Line Drive,87.5,2031.1,95.5,5.4,60.00%
0-1,1,C. Clark (LMU),J. Sundstrom (UCSB),Sinker,Pop Out,87.9,2116.1,84.5,63.3,94.70%
1-2,1,B. O'neill (HALL),J. Newman jr. (UCSB),Slider,Single on a Line Drive,82.5,2439.8,105.7,12.5,72.90%
3-1,1,B. O'neill (HALL),A. Parker (UCSB),Fastball,Fly Out,90.8,2217.6,81.6,30.8,97.20%
0-0,2,B. O'neill (HALL),J. Sundstrom (UCSB),Slider,Fly Out,81.8,2505.2,96.6,49.9,92.40%
0-0,0,B. O'neill (HALL),J. Sebring (UCSB),Fastball,Single on a Ground Ball,91,2132.8,105,-1.5,97.00%
2-2,1,B. O'neill (HALL),Z. Darby (UCSB),Curveball,Hit By Pitch,84.2,2407,16.9,-0.8,0.00%
2-2,1,B. O'neill (HALL),C. Kirtley (UCSB),Fastball,Single on a Line Drive,91.8,2317.6,97.1,6.8,97.00%
0-1,1,B. O'neill (HALL),J. Newman jr. (UCSB),Slider,Fly Out,81.9,2437.6,85.8,31.3,98.60%
1-1,2,B. O'neill (HALL),A. Parker (UCSB),Fastball,Double on a Line Drive,92.6,2217.9,101.3,19.9,96.50%
3-2,2,B. O'neill (HALL),J. Sundstrom (UCSB),Slider,Ground Out,83.7,2548,99.5,-1.1,98.70%
2-1,1,B. O'neill (HALL),Z. Darby (UCSB),Slider,Single on a Ground Ball,82.5,2413.2,76.8,-5.3,97.40%
1-0,1,B. O'neill (HALL),C. Kirtley (UCSB),Fastball,Fielder's Choice,91.3,2150.7,78.4,9.5,82.70%
1-2,1,B. O'neill (HALL),I. Brethowr (UCSB),Fastball,Fly Out,92.6,2273.1,105.1,28.3,93.00%
0-0,1,N. Payero (HALL),Z. Darby (UCSB),Splitter,Pop Out,78.5,754.5,64.8,46.5,59.70%
0-0,2,N. Payero (HALL),A. Parker (UCSB),Fastball,Double on a Line Drive,87.6,2018.7,103.2,13.6,98.90%
0-0,0,M. Gillen (HALL),J. Sebring (UCSB),Sinker,Ground Out,88.6,2192,65.5,-11.1,80.70%
0-0,1,M. Gillen (HALL),Z. Darby (UCSB),Sinker,Triple on a Line Drive,89.4,2304,102.3,6.7,96.90%
2-1,2,M. Gillen (HALL),N. Oakley (UCSB),Sinker,Ground Out,88.1,2342,82.8,-9.5,39.10%
2-0,0,T. Kniskern (PEPP),I. Brethowr (UCSB),Fastball,Double on a Line Drive,86.8,2104.6,109.8,10.2,96.80%
0-0,0,T. Kniskern (PEPP),A. Parker (UCSB),Fastball,Fly Out,87.1,2085.9,86.3,56.7,98.10%
3-1,1,T. Kniskern (PEPP),C. Kirtley (UCSB),Fastball,Sac Fly,85.6,2065.1,100.5,43.2,97.50%
2-1,0,T. Kniskern (PEPP),J. Sebring (UCSB),Fastball,Single on a Ground Ball,87,2098.5,104.3,0.7,25.80%
0-0,0,T. Kniskern (PEPP),Z. Darby (UCSB),Fastball,Ground Out,87.4,2201.5,88.5,-18,72.40%
2-2,1,T. Kniskern (PEPP),L. Mccollum (UCSB),Fastball,Sac Fly,88.5,2125.5,93.8,17.7,19.40%
3-2,2,T. Kniskern (PEPP),C. Nunez (UCSB),Fastball,Fly Out,84.5,2071.9,93.6,28.9,83.90%
0-0,0,T. Kniskern (PEPP),I. Brethowr (UCSB),Fastball,Single on a Ground Ball,84.7,1983.5,109,-3.3,97.60%
2-0,0,T. Kniskern (PEPP),A. Parker (UCSB),Fastball,Single on a Line Drive,84.3,2018.9,103.7,15.5,94.00%
0-0,0,T. Kniskern (PEPP),J. Sebring (UCSB),Fastball,Fly Out,84.3,2038.5,107.3,21.5,96.00%
2-0,1,T. Kniskern (PEPP),Z. Darby (UCSB),Fastball,Fly Out,85.7,2102.1,104.6,33.6,97.80%
2-0,2,T. Kniskern (PEPP),J. Newman jr. (UCSB),Changeup,Single on a Ground Ball,83.9,2179.5,95.7,-0.2,98.60%
1-0,2,T. Kniskern (PEPP),J. Sundstrom (UCSB),Fastball,Double on a Fly Ball,86,1976.2,81.6,22.1,30.90%
2-1,2,T. Kniskern (PEPP),J. Sebring (UCSB),Fastball,Single on a Ground Ball,87.4,2043.5,107.7,4.5,98.70%
0-0,2,G. Nichols (PEPP),L. Mccollum (UCSB),Changeup,Single on a Ground Ball,82.9,2032.4,98.7,-1.6,96.80%
2-1,2,G. Nichols (PEPP),C. Nunez (UCSB),Fastball,Fly Out,85.1,2116.2,93.6,37.4,98.30%
1-0,0,G. Nichols (PEPP),I. Brethowr (UCSB),Fastball,Pop Out,84.4,2082,91,61.9,8.40%
2-2,1,G. Nichols (PEPP),A. Parker (UCSB),Curveball,Fly Out,70.3,2579.1,96.1,23.8,77.80%
1-0,0,N. Bonn (PEPP),J. Sebring (UCSB),Fastball,Single on a Line Drive,89.3,2074.3,104.1,5.4,36.00%
0-0,0,N. Bonn (PEPP),Z. Darby (UCSB),Sinker,Single on a Line Drive,87.8,2096.5,80,7.7,98.00%
0-1,0,N. Bonn (PEPP),L. Mccollum (UCSB),Curveball,Fielder's Choice,74.8,2269.4,76.9,-28.3,78.50%
3-2,1,N. Bonn (PEPP),C. Nunez (UCSB),Fastball,Single on a Line Drive,88.6,2049.9,95.3,5.8,96.40%
0-0,2,D. Stewart (PEPP),A. Parker (UCSB),Changeup,Pop Out,79.9,1935.6,82.5,47.7,74.80%
0-0,0,D. Stewart (PEPP),N. Oakley (UCSB),Changeup,Line Out,80.3,1919.8,90.7,6.1,37.20%
0-0,2,D. Stewart (PEPP),J. Williams (UCSB),Changeup,Pop Out,80.5,1899,74.9,50,82.70%
2-1,0,N. Boyle (XAV),Z. Darby (UCSB),Fastball,Fly Out,91.9,2560,98.9,33.5,96.00%
1-0,1,N. Boyle (XAV),A. Parker (UCSB),Fastball,Home Run on a 415.81 ft Fly Ball,90.6,2444.7,105.3,25.6,97.70%
1-0,2,N. Boyle (XAV),J. Williams (UCSB),Fastball,Home Run on a 416.38 ft Fly Ball,88.8,2536.7,106.5,23.1,98.60%
2-1,0,N. Boyle (XAV),J. Trimble (UCSB),Fastball,Home Run on a 425.17 ft Fly Ball,89.4,2589.5,104,24.1,57.00%
2-1,0,N. Boyle (XAV),C. Nunez (UCSB),Fastball,Fly Out,87.8,2507.6,87.8,50.3,20.50%
2-0,1,L. Bell (XAV),Z. Darby (UCSB),Fastball,Fly Out,89.3,2358,93.3,59.5,19.40%
1-1,2,L. Bell (XAV),A. Parker (UCSB),Slider,Fly Out,81.6,2761.7,100.1,38.1,70.40%
3-2,0,L. Bell (XAV),I. Brethowr (UCSB),Slider,Pop Out,84.6,2697.1,80.2,55.8,91.60%
0-0,1,L. Bell (XAV),N. Oakley (UCSB),Slider,Line Out,79.8,2803,97.4,6.1,95.50%
0-1,2,L. Bell (XAV),J. Trimble (UCSB),Curveball,Line Out,77.7,2891.2,108.2,19.2,95.00%
2-2,0,L. Bell (XAV),C. Nunez (UCSB),Slider,Ground Out,82.7,2621.6,64.9,-15.2,0.00%
0-0,1,L. Bell (XAV),Z. Darby (UCSB),Curveball,Fly Out,75.5,2892.6,89,42,95.90%
0-0,2,L. Bell (XAV),A. Parker (UCSB),Changeup,Ground Out,82.5,1695.5,89,-21.4,96.50%
0-1,0,L. Bell (XAV),I. Brethowr (UCSB),Fastball,Double on a Fly Ball,89.7,2488.5,91.9,32.4,97.90%
0-0,0,L. Bell (XAV),B. Mortensen (UCSB),Curveball,Fly Out,76.6,2843.2,96.9,41.9,98.70%
0-0,0,L. Bell (XAV),N. Oakley (UCSB),Changeup,Ground Out,83.3,1750.3,81.6,-8.7,98.60%
1-1,1,C. Bailey (XAV),A. Parker (UCSB),Slider,Fly Out,81.4,2840.7,98,49.8,97.00%
2-1,2,C. Bailey (XAV),I. Brethowr (UCSB),Changeup,Pop Out,84,1435.6,70.2,74.5,94.20%
1-2,0,B. Alazaus (XAV),A. Parker (UCSB),Changeup,Home Run on a 401.65 ft Fly Ball,65.3,1851.8,101.5,27.9,73.50%
0-1,0,B. Alazaus (XAV),Z. Darby (UCSB),Changeup,Pop Out,82.2,2052.1,84.9,77.8,81.80%
0-2,1,B. Alazaus (XAV),J. Sundstrom (UCSB),Splitter,Pop Out,84.2,2145.6,76.5,78.4,1.30%
2-1,0,B. Alazaus (XAV),I. Brethowr (UCSB),Changeup,Fly Out,82.4,1981.7,87.7,40.9,92.50%
0-1,1,B. Alazaus (XAV),C. Kirtley (UCSB),Fastball,Fly Out,84.1,2058.1,95.6,57.5,95.60%
0-0,2,B. Alazaus (XAV),L. Mosby (UCSB),Slider,Fly Out,76.1,1833.8,93,48.5,98.20%
1-0,0,B. Alazaus (XAV),A. Parker (UCSB),Changeup,Double on a Line Drive,82.5,2015.4,105.3,17,95.20%
1-0,0,B. Alazaus (XAV),N. Oakley (UCSB),Changeup,Fly Out,82.3,2013.1,93.5,44,97.30%
0-0,2,B. Alazaus (XAV),Z. Darby (UCSB),Changeup,Double on a Fly Ball,82.4,2092.1,65.8,25.5,6.50%
0-0,1,B. Alazaus (XAV),I. Brethowr (UCSB),Changeup,Fly Out,82.9,2140.9,85.4,43.7,98.80%
0-0,0,J. Kelly (XAV),L. Mosby (UCSB),Sinker,Line Out,87.6,2189.2,99,6.1,98.80%
2-1,1,J. Kelly (XAV),A. Parker (UCSB),Changeup,Double on a Line Drive,74.9,1169.5,89.4,14.2,67.50%
